Date,Precip (mm),Solar (MJ/m2)
12/31/2014,310,15.9
1/31/2015,366.3,15.7
2/28/2015,325.8,16.8
3/31/2015,328.7,17.1
4/30/2015,248,17.5
5/31/2015,207.4,17.4
6/30/2015,122.5,17.3
7/31/2015,56.1,17.7
8/31/2015,24.7,17.7
9/30/2015,16,16.8
10/31/2015,191.3,16.2
11/30/2015,367.8,16.3
12/31/2015,367.8,16.3
